dest_ip,dest_port,metadata_comment
172.67.180.16,80,proxylist.txt
172.67.70.233,80,proxylist.txt
141.101.123.12,80,proxylist.txt
8.35.211.36,80,proxylist.txt
141.101.113.156,80,proxylist.txt
141.101.113.125,80,proxylist.txt
141.101.113.188,80,proxylist.txt
8.35.211.225,80,proxylist.txt
108.162.193.236,80,proxylist.txt
141.101.114.252,80,proxylist.txt
23.227.39.253,80,proxylist.txt
173.245.49.156,80,proxylist.txt
172.67.70.247,80,proxylist.txt
188.114.96.85,80,proxylist.txt
141.101.123.58,80,proxylist.txt
141.101.123.90,80,proxylist.txt
141.101.123.124,80,proxylist.txt
141.101.120.136,80,proxylist.txt
172.67.171.205,80,proxylist.txt
172.67.176.187,80,proxylist.txt
172.67.176.183,80,proxylist.txt
172.67.181.119,80,proxylist.txt
200.59.191.233,999,proxylist.txt
192.252.209.155,14455,proxylist.txt
202.62.49.65,1080,proxylist.txt
142.54.231.38,4145,proxylist.txt
192.252.216.81,4145,proxylist.txt
192.73.244.36,80,proxylist.txt
80.74.54.148,3128,proxylist.txt
208.102.51.6,58208,proxylist.txt
193.233.254.9,1080,proxylist.txt
12.50.107.221,80,proxylist.txt
172.65.90.0,80,proxylist.txt
116.171.106.78,3000,proxylist.txt
74.176.195.135,80,proxylist.txt
189.202.188.149,80,proxylist.txt
172.67.165.80,80,proxylist.txt
172.67.229.38,80,proxylist.txt
66.235.200.60,80,proxylist.txt
172.67.70.4,80,proxylist.txt
172.67.141.154,80,proxylist.txt
141.101.122.226,80,proxylist.txt
141.101.122.246,80,proxylist.txt
188.114.97.1,80,proxylist.txt
172.67.215.205,80,proxylist.txt
141.101.123.224,80,proxylist.txt
172.67.181.57,80,proxylist.txt
141.101.113.242,80,proxylist.txt
141.101.113.191,80,proxylist.txt
195.85.23.58,80,proxylist.txt
173.245.58.95,80,proxylist.txt
66.235.200.248,80,proxylist.txt
172.67.145.39,80,proxylist.txt
172.67.241.160,80,proxylist.txt
172.67.68.68,80,proxylist.txt
173.245.49.146,80,proxylist.txt
172.67.187.75,80,proxylist.txt
172.67.175.252,80,proxylist.txt
66.235.200.187,80,proxylist.txt
172.64.150.29,80,proxylist.txt
172.67.89.222,80,proxylist.txt
66.235.200.219,80,proxylist.txt
141.101.123.158,80,proxylist.txt
141.101.122.212,80,proxylist.txt
141.101.122.30,80,proxylist.txt
141.101.120.154,80,proxylist.txt
103.21.244.85,80,proxylist.txt
172.67.191.165,80,proxylist.txt
172.67.134.28,80,proxylist.txt
172.67.185.194,80,proxylist.txt
172.67.170.33,80,proxylist.txt
172.67.171.189,80,proxylist.txt
172.67.206.44,80,proxylist.txt
173.245.49.68,80,proxylist.txt
23.227.38.146,80,proxylist.txt
23.227.38.208,80,proxylist.txt
172.67.177.174,80,proxylist.txt
172.67.68.214,80,proxylist.txt
173.245.49.27,80,proxylist.txt
172.67.181.200,80,proxylist.txt
162.245.85.36,80,proxylist.txt
98.190.239.3,4145,proxylist.txt
203.99.240.179,80,proxylist.txt
178.130.47.129,1082,proxylist.txt
8.209.255.13,3128,proxylist.txt
172.67.188.14,80,proxylist.txt
172.67.132.209,80,proxylist.txt
